page_title,edits,rank,time
Project:Requested_moves/Current_discussions,982,41,2011-04-01T00:00:00.000Z
Project:Changing_username/Simple,967,42,2011-04-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),957,43,2011-04-01T00:00:00.000Z
Talk:Hard_disk_drive,946,44,2011-04-01T00:00:00.000Z
2011_Super_Outbreak,939,45,2011-04-01T00:00:00.000Z
Wedding_of_Prince_William_and_Catherine_Middleton,938,46,2011-04-01T00:00:00.000Z
Project:Dashboard/Requested_moves,919,47,2011-04-01T00:00:00.000Z
User:Paul_August/Telephus,909,48,2011-04-01T00:00:00.000Z
Talk:Main_Page,878,49,2011-04-01T00:00:00.000Z
Fukushima_Daiichi_nuclear_disaster,877,50,2011-04-01T00:00:00.000Z
User:Jsmith006/Sandbox,876,51,2011-04-01T00:00:00.000Z
List_of_punk_bands_from_the_United_Kingdom,875,52,2011-04-01T00:00:00.000Z
Portal:Current_events/Sports,875,53,2011-04-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,867,54,2011-04-01T00:00:00.000Z
User:Davide41,853,55,2011-04-01T00:00:00.000Z
Project:Arbitration/Requests/Enforcement,852,56,2011-04-01T00:00:00.000Z
2011_Hetherington_House_Occupation,846,57,2011-04-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,836,58,2011-04-01T00:00:00.000Z
Project:WikiProject_Wikify/Drives/2011/April/Log,814,59,2011-04-01T00:00:00.000Z
Project:Huggle/Whitelist,796,60,2011-04-01T00:00:00.000Z
Rio_(2011_film),781,61,2011-04-01T00:00:00.000Z
2011_Canadian_federal_election,778,62,2011-04-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,776,63,2011-04-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,773,64,2011-04-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,770,65,2011-04-01T00:00:00.000Z
Project:Village_pump_(technical),768,66,2011-04-01T00:00:00.000Z
"Catherine,_Duchess_of_Cambridge",756,67,2011-04-01T00:00:00.000Z
Syrian_civil_war,755,68,2011-04-01T00:00:00.000Z
Project:Editor_assistance/Requests,749,69,2011-04-01T00:00:00.000Z
Talk:Barack_Obama_citizenship_conspiracy_theories,739,70,2011-04-01T00:00:00.000Z
Project:Arbitration/Requests/Case/Noleander/Workshop,732,71,2011-04-01T00:00:00.000Z
Template:AfC_statistics,721,72,2011-04-01T00:00:00.000Z
Project:Toolserver/status,720,73,2011-04-01T00:00:00.000Z
Holy_Wood_(In_the_Shadow_of_the_Valley_of_Death),718,74,2011-04-01T00:00:00.000Z
User:JamesR/AdminStats,707,75,2011-04-01T00:00:00.000Z
Project:Community_portal/Opentask,704,76,2011-04-01T00:00:00.000Z
Project:Village_pump_(policy),701,77,2011-04-01T00:00:00.000Z
Timeline_of_the_2011_Libyan_Civil_War_and_military_intervention_(16_August_–_23_October),688,78,2011-04-01T00:00:00.000Z
Project:Reference_desk/Entertainment,687,79,2011-04-01T00:00:00.000Z
User:JaGa/Short_leaderboard,684,80,2011-04-01T00:00:00.000Z
WrestleMania_XXVII,683,81,2011-04-01T00:00:00.000Z
User:TedderBot/CurrentPruneBot/census,679,82,2011-04-01T00:00:00.000Z
Project:Media_copyright_questions,672,83,2011-04-01T00:00:00.000Z
Project talk:WikiProject_Ice_Hockey,665,84,2011-04-01T00:00:00.000Z
User talk:Eric_Corbett,663,85,2011-04-01T00:00:00.000Z
Project talk:Manual_of_Style,653,86,2011-04-01T00:00:00.000Z
User talk:ImageTaggingBot/log,653,87,2011-04-01T00:00:00.000Z
User talk:Legolas2186,653,88,2011-04-01T00:00:00.000Z
Fanny_Crosby,642,89,2011-04-01T00:00:00.000Z
"Tornado_outbreak_of_April_14–16,_2011",641,90,2011-04-01T00:00:00.000Z
Frank_Buckles,628,91,2011-04-01T00:00:00.000Z
List_of_Haunted_Mansion_characters,628,92,2011-04-01T00:00:00.000Z
List_of_public-access_TV_stations_in_the_United_States,627,93,2011-04-01T00:00:00.000Z
First_Libyan_Civil_War,626,94,2011-04-01T00:00:00.000Z
2011_Indian_Premier_League,614,95,2011-04-01T00:00:00.000Z
List_of_wedding_guests_of_Prince_William_and_Catherine_Middleton,611,96,2011-04-01T00:00:00.000Z
Project talk:WikiProject_Football,606,97,2011-04-01T00:00:00.000Z
Battle_of_Misrata,602,98,2011-04-01T00:00:00.000Z
The_Biggest_Loser_(season_11),600,99,2011-04-01T00:00:00.000Z
User talk:Jimbo_Wales,599,100,2011-04-01T00:00:00.000Z
User:AmandaNP/UAA/Time,8896,1,2011-05-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,8694,2,2011-05-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,8229,3,2011-05-01T00:00:00.000Z
Project:Sandbox,7833,4,2011-05-01T00:00:00.000Z
Template talk:Did_you_know,7295,5,2011-05-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,6929,6,2011-05-01T00:00:00.000Z
Killing_of_Osama_bin_Laden,3967,7,2011-05-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,3591,8,2011-05-01T00:00:00.000Z
Project:Reference_desk/Humanities,3586,9,2011-05-01T00:00:00.000Z
Project:Requests_for_page_protection,3060,10,2011-05-01T00:00:00.000Z
Project:Help_desk,2835,11,2011-05-01T00:00:00.000Z
Project:In_the_news/Candidates,2718,12,2011-05-01T00:00:00.000Z
Project:Open_proxy_detection,2633,13,2011-05-01T00:00:00.000Z
Project:Reference_desk/Science,2580,14,2011-05-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2268,15,2011-05-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,2193,16,2011-05-01T00:00:00.000Z
Talk:Killing_of_Osama_bin_Laden,2131,17,2011-05-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,2014,18,2011-05-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,1773,19,2011-05-01T00:00:00.000Z
Project:Administrators'_noticeboard,1727,20,2011-05-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1670,21,2011-05-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,1591,22,2011-05-01T00:00:00.000Z
Osama_bin_Laden,1542,23,2011-05-01T00:00:00.000Z
Project:WikiProject_Dacia/Drafts/Dacian_bracelets,1537,24,2011-05-01T00:00:00.000Z
American_Idol_(season_10),1509,25,2011-05-01T00:00:00.000Z
User:VeblenBot/PERtable,1490,26,2011-05-01T00:00:00.000Z
User:VeblenBot/SPERtable,1487,27,2011-05-01T00:00:00.000Z
User:X!/RfX_Report,1479,28,2011-05-01T00:00:00.000Z
Project:Reference_desk/Computing,1438,29,2011-05-01T00:00:00.000Z
Project:Arbitration/Requests/Enforcement,1426,30,2011-05-01T00:00:00.000Z
Project:Reference_desk/Language,1406,31,2011-05-01T00:00:00.000Z
Talk:Osama_bin_Laden,1340,32,2011-05-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1289,33,2011-05-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,1275,34,2011-05-01T00:00:00.000Z
Deaths_in_2011,1274,35,2011-05-01T00:00:00.000Z
User:Δ/Sandbox,1230,36,2011-05-01T00:00:00.000Z
Talk:United_Kingdom,1158,37,2011-05-01T00:00:00.000Z
Project talk:Manual_of_Style,1153,38,2011-05-01T00:00:00.000Z
Project:Reference_desk/Mathematics,1123,39,2011-05-01T00:00:00.000Z
2011_French_Open,1087,40,2011-05-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,1079,41,2011-05-01T00:00:00.000Z
Portal:Current_events/Sports,1067,42,2011-05-01T00:00:00.000Z
Project:Changing_username/Simple,1047,43,2011-05-01T00:00:00.000Z
User:CommonsNotificationBot/tracking_log.js,1037,44,2011-05-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),1019,45,2011-05-01T00:00:00.000Z
Dominique_Strauss-Kahn,1018,46,2011-05-01T00:00:00.000Z
2011_IIHF_World_Championship,1010,47,2011-05-01T00:00:00.000Z
Dancing_with_the_Stars_(American_season_12),1004,48,2011-05-01T00:00:00.000Z
Project:Village_pump_(technical),995,49,2011-05-01T00:00:00.000Z
Project:WikiProject_Guild_of_Copy_Editors/Backlog_elimination_drives/May_2011,988,50,2011-05-01T00:00:00.000Z
Project:Good_article_nominations,978,51,2011-05-01T00:00:00.000Z
Project:Dashboard/Requested_moves,972,52,2011-05-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,969,53,2011-05-01T00:00:00.000Z
Talk:Dominique_Strauss-Kahn,960,54,2011-05-01T00:00:00.000Z
Reactions_to_the_death_of_Osama_bin_Laden,951,55,2011-05-01T00:00:00.000Z
User talk:Jimbo_Wales,917,56,2011-05-01T00:00:00.000Z
Project talk:WikiProject_Football,913,57,2011-05-01T00:00:00.000Z
Born_This_Way_(album),903,58,2011-05-01T00:00:00.000Z
Project:Village_pump_(policy),893,59,2011-05-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,892,60,2011-05-01T00:00:00.000Z
Project:Huggle/Whitelist,887,61,2011-05-01T00:00:00.000Z
2011_French_Open_–_Men's_Singles,882,62,2011-05-01T00:00:00.000Z
List_of_punk_bands_from_the_United_Kingdom,875,63,2011-05-01T00:00:00.000Z
Talk:2011_end_times_prediction,852,64,2011-05-01T00:00:00.000Z
Glossary_of_association_football_terms,840,65,2011-05-01T00:00:00.000Z
Project:Wikiquette_assistance,794,66,2011-05-01T00:00:00.000Z
Project:Reference_desk/Entertainment,790,67,2011-05-01T00:00:00.000Z
User:X!/Tally,788,68,2011-05-01T00:00:00.000Z
2011_Indian_Premier_League,769,69,2011-05-01T00:00:00.000Z
Project:Toolserver/status,750,70,2011-05-01T00:00:00.000Z
Over_the_Limit_(2011),747,71,2011-05-01T00:00:00.000Z
Template:AfC_statistics,741,72,2011-05-01T00:00:00.000Z
Project:Village_pump_(proposals),740,73,2011-05-01T00:00:00.000Z
Miss_Universe_2011,736,74,2011-05-01T00:00:00.000Z
User:JamesR/AdminStats,735,75,2011-05-01T00:00:00.000Z
User:TedderBot/CurrentPruneBot/census,734,76,2011-05-01T00:00:00.000Z
The_Apprentice_(American_season_11),722,77,2011-05-01T00:00:00.000Z
User:JaGa/Short_leaderboard,718,78,2011-05-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,714,79,2011-05-01T00:00:00.000Z
User:Finetooth/Sandbox6,699,80,2011-05-01T00:00:00.000Z
Talk:Southern_Adventist_University,687,81,2011-05-01T00:00:00.000Z
User:Paul_August/Telephus,687,82,2011-05-01T00:00:00.000Z
User talk:Legolas2186,684,83,2011-05-01T00:00:00.000Z
User:Britmax,678,84,2011-05-01T00:00:00.000Z
2011–12_UEFA_Europa_League,675,85,2011-05-01T00:00:00.000Z
Project talk:Non-free_content,666,86,2011-05-01T00:00:00.000Z
Project talk:Verifiability,663,87,2011-05-01T00:00:00.000Z
Project:Arbitration/Requests/Case/Racepacket/Workshop,655,88,2011-05-01T00:00:00.000Z
2011–12_UEFA_Champions_League,652,89,2011-05-01T00:00:00.000Z
User talk:ImageTaggingBot/log,649,90,2011-05-01T00:00:00.000Z
Project:BAG/Status,638,91,2011-05-01T00:00:00.000Z
Project:Dashboard/Help_noticeboards,635,92,2011-05-01T00:00:00.000Z
2011_end_times_prediction,631,93,2011-05-01T00:00:00.000Z
User:NekoBot/LastOnline,627,94,2011-05-01T00:00:00.000Z
2010–11_Premier_League,626,95,2011-05-01T00:00:00.000Z
Project:Requests_for_undeletion,619,96,2011-05-01T00:00:00.000Z
Project:Main_Page/Errors,616,97,2011-05-01T00:00:00.000Z
Project:Sockpuppet_investigations/SPI/Subpage_-_Open_suspected_sockpuppet_investigations,614,98,2011-05-01T00:00:00.000Z
Talk:New_York_v._Strauss-Kahn,610,99,2011-05-01T00:00:00.000Z
12th_(Yorkshire)_Parachute_Battalion,607,100,2011-05-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,7956,1,2011-06-01T00:00:00.000Z
Project:Sandbox,7317,2,2011-06-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,7314,3,2011-06-01T00:00:00.000Z
User:AmandaNP/UAA/Time,6911,4,2011-06-01T00:00:00.000Z
Template talk:Did_you_know,6795,5,2011-06-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,5703,6,2011-06-01T00:00:00.000Z
User:West.andrew.g/Dead_links,5604,7,2011-06-01T00:00:00.000Z
Project:Reference_desk/Science,3460,8,2011-06-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,3258,9,2011-06-01T00:00:00.000Z
"Talk:Campaign_for_the_neologism_""santorum""",3181,10,2011-06-01T00:00:00.000Z
Project:Requests_for_page_protection,3111,11,2011-06-01T00:00:00.000Z
Project:Reference_desk/Humanities,2881,12,2011-06-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2749,13,2011-06-01T00:00:00.000Z
Project:Help_desk,2617,14,2011-06-01T00:00:00.000Z
Project:In_the_news/Candidates,2102,15,2011-06-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1976,16,2011-06-01T00:00:00.000Z
Project:Open_proxy_detection,1846,17,2011-06-01T00:00:00.000Z
Project:Reference_desk/Computing,1622,18,2011-06-01T00:00:00.000Z
Project:Reference_desk/Language,1614,19,2011-06-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1598,20,2011-06-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,1524,21,2011-06-01T00:00:00.000Z
Project:Administrators'_noticeboard,1470,22,2011-06-01T00:00:00.000Z
2011_CONCACAF_Gold_Cup,1451,23,2011-06-01T00:00:00.000Z
User:VeblenBot/SPERtable,1439,24,2011-06-01T00:00:00.000Z
User:VeblenBot/PERtable,1438,25,2011-06-01T00:00:00.000Z
User:X!/RfX_Report,1433,26,2011-06-01T00:00:00.000Z
Talk:Abortion,1415,27,2011-06-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,1296,28,2011-06-01T00:00:00.000Z
User:Δ/Sandbox,1268,29,2011-06-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1252,30,2011-06-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,1237,31,2011-06-01T00:00:00.000Z
2011_Wimbledon_Championships,1182,32,2011-06-01T00:00:00.000Z
User talk:Jimbo_Wales,1124,33,2011-06-01T00:00:00.000Z
Deaths_in_2011,1027,34,2011-06-01T00:00:00.000Z
Project:Village_pump_(proposals),1024,35,2011-06-01T00:00:00.000Z
Project:Changing_username/Simple,1006,36,2011-06-01T00:00:00.000Z
Project:Huggle/Whitelist,1004,37,2011-06-01T00:00:00.000Z
Talk:Main_Page,1004,38,2011-06-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,989,39,2011-06-01T00:00:00.000Z
Portal:Current_events/Sports,982,40,2011-06-01T00:00:00.000Z
Project:Good_article_nominations,974,41,2011-06-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,974,42,2011-06-01T00:00:00.000Z
Talk:Murder_of_Meredith_Kercher,972,43,2011-06-01T00:00:00.000Z
Project talk:Did_you_know,962,44,2011-06-01T00:00:00.000Z
Project:WikiProject_Wikify/Drives/2011/June/Log,958,45,2011-06-01T00:00:00.000Z
2011_FIFA_U-17_World_Cup,953,46,2011-06-01T00:00:00.000Z
2011_Germany_E._coli_O104:H4_outbreak,947,47,2011-06-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),941,48,2011-06-01T00:00:00.000Z
2011_Wimbledon_Championships_–_Men's_Singles,925,49,2011-06-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,921,50,2011-06-01T00:00:00.000Z
Anthony_Weiner,918,51,2011-06-01T00:00:00.000Z
Project:Dashboard/Requested_moves,911,52,2011-06-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,908,53,2011-06-01T00:00:00.000Z
User talk:ImageTaggingBot/log,904,54,2011-06-01T00:00:00.000Z
Project:Village_pump_(policy),841,55,2011-06-01T00:00:00.000Z
Project:Reference_desk/Mathematics,816,56,2011-06-01T00:00:00.000Z
Project:Reference_desk/Entertainment,764,57,2011-06-01T00:00:00.000Z
Anthony_Weiner_sexting_scandals,757,58,2011-06-01T00:00:00.000Z
User:BeenAroundAWhile/Sandbox,753,59,2011-06-01T00:00:00.000Z
User:Jsmith006/Sandbox,744,60,2011-06-01T00:00:00.000Z
Project talk:Naming_conventions_(use_English),739,61,2011-06-01T00:00:00.000Z
Project:Arbitration/Requests/Case,723,62,2011-06-01T00:00:00.000Z
Project:Toolserver/status,723,63,2011-06-01T00:00:00.000Z
Duke_Nukem_Forever,722,64,2011-06-01T00:00:00.000Z
Template:AfC_statistics,722,65,2011-06-01T00:00:00.000Z
User talk:Legolas2186,708,66,2011-06-01T00:00:00.000Z
User:TedderBot/CurrentPruneBot/census,708,67,2011-06-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,702,68,2011-06-01T00:00:00.000Z
Project:Village_pump_(technical),702,69,2011-06-01T00:00:00.000Z
X-Men:_First_Class,702,70,2011-06-01T00:00:00.000Z
User:JamesR/AdminStats,689,71,2011-06-01T00:00:00.000Z
User:JaGa/Short_leaderboard,686,72,2011-06-01T00:00:00.000Z
Project talk:WikiProject_Football,674,73,2011-06-01T00:00:00.000Z
Tha_Carter_IV,672,74,2011-06-01T00:00:00.000Z
Talk:Anthony_Weiner_sexting_scandals,671,75,2011-06-01T00:00:00.000Z
Project:Requests_for_undeletion,668,76,2011-06-01T00:00:00.000Z
User talk:Fastily,655,77,2011-06-01T00:00:00.000Z
The_Voice_(American_TV_series),652,78,2011-06-01T00:00:00.000Z
Project talk:Manual_of_Style,650,79,2011-06-01T00:00:00.000Z
Talk:Draža_Mihailović,639,80,2011-06-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,638,81,2011-06-01T00:00:00.000Z
Bitcoin,636,82,2011-06-01T00:00:00.000Z
6th_Airborne_Division_in_Palestine,627,83,2011-06-01T00:00:00.000Z
2011_Wimbledon_Championships_–_Women's_Singles,625,84,2011-06-01T00:00:00.000Z
Project:Sockpuppet_investigations/SPI/Subpage_-_Open_suspected_sockpuppet_investigations,625,85,2011-06-01T00:00:00.000Z
Talk:Nair,618,86,2011-06-01T00:00:00.000Z
2011_NHL_Entry_Draft,606,87,2011-06-01T00:00:00.000Z
Project:Dashboard/Help_noticeboards,606,88,2011-06-01T00:00:00.000Z
User:Eeekster/CSD_log,604,89,2011-06-01T00:00:00.000Z
Project:Media_copyright_questions,600,90,2011-06-01T00:00:00.000Z
List_of_Big_Time_Rush_episodes,598,91,2011-06-01T00:00:00.000Z
Pentagram_map,593,92,2011-06-01T00:00:00.000Z
Lord_Howe_Island,581,93,2011-06-01T00:00:00.000Z
Talk:New_York_v._Strauss-Kahn,581,94,2011-06-01T00:00:00.000Z
Project:Editor_assistance/Requests,576,95,2011-06-01T00:00:00.000Z
Hell:_The_Sequel,573,96,2011-06-01T00:00:00.000Z
Project:Main_Page/Errors,569,97,2011-06-01T00:00:00.000Z
Talk:Paul_Revere,569,98,2011-06-01T00:00:00.000Z
User talk:Δ,567,99,2011-06-01T00:00:00.000Z
History_of_Islam,557,100,2011-06-01T00:00:00.000Z
User:West.andrew.g/Dead_links,14990,1,2011-07-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,8174,2,2011-07-01T00:00:00.000Z
User:AmandaNP/UAA/Time,7323,3,2011-07-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,6656,4,2011-07-01T00:00:00.000Z
Project:Sandbox,6429,5,2011-07-01T00:00:00.000Z
Template talk:Did_you_know,5157,6,2011-07-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,5094,7,2011-07-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,4678,8,2011-07-01T00:00:00.000Z
Project:Reference_desk/Science,3463,9,2011-07-01T00:00:00.000Z
Project:Reference_desk/Humanities,3178,10,2011-07-01T00:00:00.000Z
Project:In_the_news/Candidates,3137,11,2011-07-01T00:00:00.000Z
Project:Requests_for_page_protection,3089,12,2011-07-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,3075,13,2011-07-01T00:00:00.000Z
2011_Norway_attacks,2942,14,2011-07-01T00:00:00.000Z
Project:Help_desk,2926,15,2011-07-01T00:00:00.000Z
Anders_Behring_Breivik,2833,16,2011-07-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,2355,17,2011-07-01T00:00:00.000Z
Talk:Death_of_Caylee_Anthony,2224,18,2011-07-01T00:00:00.000Z
Talk:Anders_Behring_Breivik,1854,19,2011-07-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,1818,20,2011-07-01T00:00:00.000Z
Project talk:Did_you_know,1746,21,2011-07-01T00:00:00.000Z
Project:Reference_desk/Language,1707,22,2011-07-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1633,23,2011-07-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1612,24,2011-07-01T00:00:00.000Z
2011_Copa_América,1556,25,2011-07-01T00:00:00.000Z
Project:Open_proxy_detection,1516,26,2011-07-01T00:00:00.000Z
User:VeblenBot/PERtable,1487,27,2011-07-01T00:00:00.000Z
User:VeblenBot/SPERtable,1487,28,2011-07-01T00:00:00.000Z
User:X!/RfX_Report,1486,29,2011-07-01T00:00:00.000Z
Project:Administrators'_noticeboard,1482,30,2011-07-01T00:00:00.000Z
Talk:Abortion,1474,31,2011-07-01T00:00:00.000Z
Project:Reference_desk/Computing,1470,32,2011-07-01T00:00:00.000Z
Harry_Potter_and_the_Deathly_Hallows_–_Part_2,1379,33,2011-07-01T00:00:00.000Z
Portal:Current_events/Sports,1289,34,2011-07-01T00:00:00.000Z
Death_of_Caylee_Anthony,1244,35,2011-07-01T00:00:00.000Z
Project talk:Manual_of_Style,1236,36,2011-07-01T00:00:00.000Z
Deaths_in_2011,1230,37,2011-07-01T00:00:00.000Z
Talk:2011_Norway_attacks,1230,38,2011-07-01T00:00:00.000Z
Project:WikiProject_Dacia/Drafts/Dacian_bracelets,1193,39,2011-07-01T00:00:00.000Z
User:Δ/Sandbox,1178,40,2011-07-01T00:00:00.000Z
User talk:Fastily,1177,41,2011-07-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,1173,42,2011-07-01T00:00:00.000Z
News_International_phone_hacking_scandal,1114,43,2011-07-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),1110,44,2011-07-01T00:00:00.000Z
Project:Requests_for_comment/Main_Page_features,1107,45,2011-07-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1090,46,2011-07-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,1085,47,2011-07-01T00:00:00.000Z
Project:Dashboard/Requested_moves,1061,48,2011-07-01T00:00:00.000Z
User talk:Jimbo_Wales,1053,49,2011-07-01T00:00:00.000Z
Project:Good_article_nominations,1049,50,2011-07-01T00:00:00.000Z
Project:Village_pump_(proposals),1044,51,2011-07-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,1041,52,2011-07-01T00:00:00.000Z
Project:Changing_username/Simple,1024,53,2011-07-01T00:00:00.000Z
User talk:ImageTaggingBot/log,998,54,2011-07-01T00:00:00.000Z
Project:Huggle/Whitelist,935,55,2011-07-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,933,56,2011-07-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,932,57,2011-07-01T00:00:00.000Z
User talk:Since_10.28.2010,932,58,2011-07-01T00:00:00.000Z
Project talk:Requests_for_comment/Cirt,867,59,2011-07-01T00:00:00.000Z
Project:Reference_desk/Entertainment,860,60,2011-07-01T00:00:00.000Z
Transformers:_Dark_of_the_Moon,857,61,2011-07-01T00:00:00.000Z
Project:Categories_for_discussion/Speedy,854,62,2011-07-01T00:00:00.000Z
Amy_Winehouse,851,63,2011-07-01T00:00:00.000Z
America's_Got_Talent_(season_6),848,64,2011-07-01T00:00:00.000Z
Project:Village_pump_(policy),848,65,2011-07-01T00:00:00.000Z
Project:Requests_for_comment/Bureaucrat_removal_of_adminship_policy,842,66,2011-07-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,831,67,2011-07-01T00:00:00.000Z
2011_FIFA_Women's_World_Cup,830,68,2011-07-01T00:00:00.000Z
Project talk:WikiProject_Football,824,69,2011-07-01T00:00:00.000Z
2011–12_UEFA_Europa_League_qualifying_phase_and_play-off_round,818,70,2011-07-01T00:00:00.000Z
